Gilaki,glk,glkwiki,glkwiki/20150901,/glkwiki/20150901/glkwiki-20150901-pages-articles.xml.bz2, 1.6 MB
Galician,gl,glwiki,glwiki/20150901,/glwiki/20150901/glwiki-20150901-pages-articles.xml.bz2, 146.6 MB
Guarani,gn,gnwiki,gnwiki/20150901,/gnwiki/20150901/gnwiki-20150901-pages-articles.xml.bz2, 2.2 MB
Goan Konkani,gom,gomwiki,gomwiki/20150901,/gomwiki/20150901/gomwiki-20150901-pages-articles.xml.bz2, 3.0 MB
Gothic,got,gotwiki,gotwiki/20150901,/gotwiki/20150901/gotwiki-20150901-pages-articles.xml.bz2, 446 KB
Gujarati,gu,guwiki,guwiki/20150901,/guwiki/20150901/guwiki-20150901-pages-articles.xml.bz2, 20.7 MB
Manx,gv,gvwiki,gvwiki/20150901,/gvwiki/20150901/gvwiki-20150901-pages-articles.xml.bz2, 4.5 MB
Hakka,hak,hakwiki,hakwiki/20150901,/hakwiki/20150901/hakwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Hausa,ha,hawiki,hawiki/20150901,/hawiki/20150901/hawiki-20150901-pages-articles.xml.bz2, 594 KB
Hawaiian,haw,hawwiki,hawwiki/20150901,/hawwiki/20150901/hawwiki-20150901-pages-articles.xml.bz2, 398 KB
Hebrew,he,hewiki,hewiki/20150901,/hewiki/20150901/hewiki-20150901-pages-articles.xml.bz2, 383.5 MB
Fiji Hindi,hif,hifwiki,hifwiki/20150901,/hifwiki/20150901/hifwiki-20150901-pages-articles.xml.bz2, 3.4 MB
Hindi,hi,hiwiki,hiwiki/20150901,/hiwiki/20150901/hiwiki-20150901-pages-articles.xml.bz2, 90.8 MB
Hiri Motu,ho,howiki,howiki/20150901,/howiki/20150901/howiki-20150901-pages-articles.xml.bz2, 7 KB
Croatian,hr,hrwiki,hrwiki/20150901,/hrwiki/20150901/hrwiki-20150901-pages-articles.xml.bz2, 183.8 MB
Upper Sorbian,hsb,hsbwiki,hsbwiki/20150901,/hsbwiki/20150901/hsbwiki-20150901-pages-articles.xml.bz2, 6.6 MB
Haitian,ht,htwiki,htwiki/20150901,/htwiki/20150901/htwiki-20150901-pages-articles.xml.bz2, 4.7 MB
Hungarian,hu,huwiki,huwiki/20150901,/huwiki/20150901/huwiki-20150901-pages-articles.xml.bz2, 570.4 MB
Armenian,hy,hywiki,hywiki/20150901,/hywiki/20150901/hywiki-20150901-pages-articles.xml.bz2, 122.0 MB
Herero,hz,hzwiki,hzwiki/20150901,/hzwiki/20150901/hzwiki-20150901-pages-articles.xml.bz2, 5 KB
Interlingua,ia,iawiki,iawiki/20150901,/iawiki/20150901/iawiki-20150901-pages-articles.xml.bz2, 5.8 MB
Indonesian,id,idwiki,idwiki/20150901,/idwiki/20150901/idwiki-20150901-pages-articles.xml.bz2, 308.2 MB
Interlingue,ie,iewiki,iewiki/20150901,/iewiki/20150901/iewiki-20150901-pages-articles.xml.bz2, 980 KB
Igbo,ig,igwiki,igwiki/20150901,/igwiki/20150901/igwiki-20150901-pages-articles.xml.bz2, 543 KB
Sichuan Yi,ii,iiwiki,iiwiki/20150901,/iiwiki/20150901/iiwiki-20150901-pages-articles.xml.bz2, 20 KB
Inupiak,ik,ikwiki,ikwiki/20150901,/ikwiki/20150901/ikwiki-20150901-pages-articles.xml.bz2, 173 KB
Ilokano,ilo,ilowiki,ilowiki/20150901,/ilowiki/20150901/ilowiki-20150901-pages-articles.xml.bz2, 9.4 MB
Ido,io,iowiki,iowiki/20150901,/iowiki/20150901/iowiki-20150901-pages-articles.xml.bz2, 8.7 MB
Icelandic,is,iswiki,iswiki/20150901,/iswiki/20150901/iswiki-20150901-pages-articles.xml.bz2, 30.4 MB
Italian,it,itwiki,itwiki/20150901,/itwiki/20150901/itwiki-20150901-pages-articles.xml.bz2, 1.9 GB
Italian,it,itwiki,itwiki/20150901,/itwiki/20150901/itwiki-20150901-pages-articles1.xml.bz2, 239.5 MB
Italian,it,itwiki,itwiki/20150901,/itwiki/20150901/itwiki-20150901-pages-articles2.xml.bz2, 346.2 MB
Italian,it,itwiki,itwiki/20150901,/itwiki/20150901/itwiki-20150901-pages-articles3.xml.bz2, 427.5 MB
Italian,it,itwiki,itwiki/20150901,/itwiki/20150901/itwiki-20150901-pages-articles4.xml.bz2, 962.8 MB
Inuktitut,iu,iuwiki,iuwiki/20150901,/iuwiki/20150901/iuwiki-20150901-pages-articles.xml.bz2, 185 KB
Japanese,ja,jawiki,jawiki/20150901,/jawiki/20150901/jawiki-20150901-pages-articles.xml.bz2, 2.0 GB
Japanese,ja,jawiki,jawiki/20150901,/jawiki/20150901/jawiki-20150901-pages-articles1.xml.bz2, 292.6 MB
Japanese,ja,jawiki,jawiki/20150901,/jawiki/20150901/jawiki-20150901-pages-articles2.xml.bz2, 587.7 MB
Japanese,ja,jawiki,jawiki/20150901,/jawiki/20150901/jawiki-20150901-pages-articles3.xml.bz2, 216.1 MB
Japanese,ja,jawiki,jawiki/20150901,/jawiki/20150901/jawiki-20150901-pages-articles4.xml.bz2, 974.8 MB
Lojban,jbo,jbowiki,jbowiki/20150901,/jbowiki/20150901/jbowiki-20150901-pages-articles.xml.bz2, 863 KB
Javanese,jv,jvwiki,jvwiki/20150901,/jvwiki/20150901/jvwiki-20150901-pages-articles.xml.bz2, 30.2 MB
Karakalpak,kaa,kaawiki,kaawiki/20150901,/kaawiki/20150901/kaawiki-20150901-pages-articles.xml.bz2, 1.1 MB
Kabyle,kab,kabwiki,kabwiki/20150901,/kabwiki/20150901/kabwiki-20150901-pages-articles.xml.bz2, 2.5 MB
Georgian,ka,kawiki,kawiki/20150901,/kawiki/20150901/kawiki-20150901-pages-articles.xml.bz2, 81.9 MB
Kabardian,kbd,kbdwiki,kbdwiki/20150901,/kbdwiki/20150901/kbdwiki-20150901-pages-articles.xml.bz2, 1.4 MB
Kongo,kg,kgwiki,kgwiki/20150901,/kgwiki/20150901/kgwiki-20150901-pages-articles.xml.bz2, 304 KB
Kikuyu,ki,kiwiki,kiwiki/20150901,/kiwiki/20150901/kiwiki-20150901-pages-articles.xml.bz2, 199 KB
Kuanyama,kj,kjwiki,kjwiki/20150901,/kjwiki/20150901/kjwiki-20150901-pages-articles.xml.bz2, 5 KB
Kazakh,kk,kkwiki,kkwiki/20150901,/kkwiki/20150901/kkwiki-20150901-pages-articles.xml.bz2, 91.3 MB
Greenlandic,kl,klwiki,klwiki/20150901,/klwiki/20150901/klwiki-20150901-pages-articles.xml.bz2, 686 KB
Khmer,km,kmwiki,kmwiki/20150901,/kmwiki/20150901/kmwiki-20150901-pages-articles.xml.bz2, 17.2 MB
Kannada,kn,knwiki,knwiki/20150901,/knwiki/20150901/knwiki-20150901-pages-articles.xml.bz2, 52.0 MB
